Series Name,Series Code,Country Name,Country Code,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Agricultural land (% of land area),AG.LND.AGRI.ZS,China,CHN,40.8268698207901,41.4217959192335,42.1264337326387,42.6154069789033,43.2410332117025,43.8665998951689,44.49976020406,44.9840737298242,45.4677506291991,46.0299978354703,47.0486499792566,48.1535162504364,49.3850713075365,50.63774116229,51.2859336188959,51.8491363623342,52.4452315041269,53.0934239607328,53.7516963458667,54.3542638628196,54.6648317659929,55.0794881942816,55.5683116756343,55.5681229787198,55.5722138930535,55.5713915865846,55.5707814882368,55.5703835980099,55.5700446698569,55.6328406499339,55.695637819864,55.7583318331087,55.8204876430821,55.8831828468425,55.9457666238713,56.0083515761775,56.0709365390941,56.1332002008976,56.1202755223834,56.1169108294991,56.107828313151,56.1080381401584,56.0967380472843,56.090201435984,56.0816654067681,56.0773345717245,56.077067426709,56.0770143746388,56.0768976600843
Agricultural land (% of land area),AG.LND.AGRI.ZS,India,IND,59.8501945721599,60.1209475344664,60.2995435878635,60.4381152903111,60.4229800315486,60.4034723646992,60.7401477873933,60.73611171839,60.632519280638,60.6759070224237,60.8003524833596,60.696423706524,61.0293993992984,60.991729421934,60.9419512375597,61.0600062559069,60.907980990115,61.0458800143953,61.0162821750376,61.0744688365022,60.9799575540076,61.0058556634457,60.9752488068371,60.8588754839079,60.7391387701425,60.8709836909178,60.8349954089715,60.8844372542623,60.8689656564162,60.7048321836142,60.7293849367178,60.6247834817149,60.6671622062499,60.5834137744308,60.5094191760365,60.4132261981239,60.4593046525785,60.5639061075814,60.3974182611942,60.4300431523044,60.4206256579633,60.4394606466455,60.4495508191538,60.4317248477225,60.3990999566123,60.2839387997403,60.2435646561437,60.2198133654425,60.2198569213538
Agricultural land (% of land area),AG.LND.AGRI.ZS,United States,USA,47.1996820599719,47.0795810878091,46.9658127123604,46.9658127123604,46.9658127123604,46.9847013198005,46.7479932219379,46.7479932219379,46.7479932219379,46.7479932219379,47.1013084455004,47.1013084455004,47.1013084455004,47.1013084455004,47.1013084455004,46.615336239049,46.615336239049,46.615336239049,46.615336239049,46.615336239049,46.4494877147624,46.1786054311843,45.9810939233275,45.8719112213614,45.4534139247251,45.2982653052312,45.2658380427472,45.1893009686689,45.2305848555761,45.2900702036254,45.0848730397122,45.0803215919807,45.0758028884775,45.0712950997171,45.0668418846705,45.0623450106528,44.9200211644376,44.7062669036734,44.4925126429091,44.2787583821449,44.0649990707762,44.1246821508141,44.1843601802475,44.2440272776368,44.3037053070702,44.363367353855,44.363367353855,44.363367353855,44.363367353855
Agricultural land (% of land area),AG.LND.AGRI.ZS,Indonesia,IDN,21.1694828242905,21.1418824555496,21.1418824555496,21.1175941310576,21.0016725823457,21.0016725823457,21.0016725823457,20.976280243104,20.976280243104,20.9486798743631,20.9486798743631,20.9210795056222,20.4529772517761,21.9031006254244,22.7934885210066,24.0040406939837,24.3639495023654,24.5284477000613,24.8861484789437,22.9215542319645,22.8260569561209,23.1931418603753,23.1683015285084,23.7241729549507,23.7186528812025,24.027225003726,24.2204275849125,25.3244423345496,25.1273089646496,25.4058680631195,25.6620572148671,27.1667024408275,28.4236803995059,27.6141013752724,27.4298156237034,28.228742292355,28.761360071456,29.6135485180177,29.6135485180177,30.0929045192086,30.0929045192086,30.3592134087591,30.3592134087591,30.5189987424894,32.0635903018824,33.1820876379946,33.1820876379946,33.1820876379946,33.1820876379946
Agricultural land (% of land area),AG.LND.AGRI.ZS,Pakistan,PAK,46.0577521793275,47.2187629721876,46.362598588626,46.7452781237028,46.3262764632628,46.5870174346202,47.2408156911582,47.1370381901204,48.5367372353674,47.3536737235367,49.954597343296,47.2304379410544,48.645703611457,48.1501660440017,46.1433686176837,47.5703092569531,45.8527916147779,46.5182648401827,45.6698837691988,45.7529057700291,45.895599833956,46.3755707762557,46.4274595267746,46.733603154836,46.92299709423,47.5677148194271,47.6857617268576,47.6805728518057,47.6053341635533,47.9607721046077,47.8466168534662,47.7921336654213,46.7582503113325,46.6544728102947,46.875,46.7167393109174,45.8086861768369,45.7619863013699,45.7165836446658,46.6168534661685,46.781600249066,47.063096720631,47.0267745952677,46.9619136571191,47.7298671647987,48.0009858862599,47.9361249481112,47.1188771274388,47.6377646326276
Agricultural land (% of land area),AG.LND.AGRI.ZS,Nigeria,NGA,60.5531583165893,66.2077143515926,61.651130362221,60.5531583165893,60.5531583165893,55.4399025000823,53.7512214939008,52.9595836490003,55.3795140375726,51.8451420226841,53.1451409247121,53.4635528179453,57.7599174325022,60.3050166342765,65.8794207099487,66.2527312054635,66.7435247098609,67.1761256958398,67.619706402275,70.1922549051901,70.7610044248273,71.4130076748246,71.5923119997365,71.7716163246484,71.9509206495603,72.1302249744721,72.309529299384,72.4888336242959,72.6681379492078,72.8474433720917,73.0267487949757,73.2060542178596,73.3853596407435,73.5646650636275,73.7439704865114,73.9232759093953,74.1025813322793,74.2818867551632,74.4611921780471,74.6404976009311,74.819803023815,74.999108446699,75.1784138695829,75.3577192924668,75.5370204332598,75.7163169625701,75.8956157976218,76.0749146326735,76.2542134677251
Agricultural land (% of land area),AG.LND.AGRI.ZS,Brazil,BRA,23.6105162153302,24.0299875331114,24.4494588508927,24.8690498125181,25.4578171698488,26.0465845271795,26.6353518845102,27.2241192418409,27.819252608834,28.0461681666017,28.2731086102889,28.5000490539761,28.7269894976634,28.9536555980158,28.7838203236605,28.6139499936589,28.4440796636572,28.2742093336556,28.1043390036539,27.9344686736523,27.7645983436506,27.594728013649,27.4248576836473,27.2554659290225,27.2678729956665,27.2802800623105,27.2926871289545,27.3050941955985,27.3175012622426,27.3299083288866,27.3423153955306,27.3547224621746,27.3671295288186,27.3795365954626,27.3925777744809,27.4788170573836,27.5650563402862,27.6512956231889,27.7375349060916,27.8237741889942,27.9100134718969,27.9962527547995,28.0824920377022,28.1687313206048,28.2549706035075,28.3410663137971,28.3410903622098,28.3410903622098,28.3410903622098
Agricultural land (% of land area),AG.LND.AGRI.ZS,Bangladesh,BGD,76.7534762234002,76.7381117000845,76.7381117000845,76.853345624952,76.807252055005,76.7534762234002,76.7227471767688,76.6920181301375,76.7227471767688,76.6766536068218,76.6536068218484,76.5460551586387,77.2835522777906,77.0300376430821,77.1375893062918,77.7060766689713,80.102942306215,80.2258584927403,79.7879695782438,79.2809403088269,73.3579165706384,72.5666436198817,71.8906045939925,72.0135207805178,71.6524544825997,71.9443804255973,72.4744564799877,72.873934086195,72.2132595836214,72.2363063685949,71.8521932857033,71.6601367442575,71.6217254359684,71.5295382960744,71.2913881846816,71.1838365214719,71.0839671199201,71.0301912883153,70.9917799800261,70.1236844126911,70.0852731044019,71.2760236613659,71.5602673427057,72.3994776062073,72.9984635476684,73.2989936237228,73.7673811170008,75.6318660213567,76.0620726741953
Agricultural land (% of land area),AG.LND.AGRI.ZS,Russian Federation,RUS,13.5223719413421,13.5223719413421,13.5223719413421,13.5223719413421,13.5223719413421,13.5223719413421,13.5223719413421,13.5223719413421,13.5223719413421,13.5223719413421,13.5223719413421,13.5223719413421,13.5223719413421,13.5223719413421,13.5223719413421,13.5223719413421,13.5223719413421,13.5223719413421,13.5223719413421,13.5223719413421,13.5223719413421,13.3524103848487,13.2901907232197,13.2125399459531,13.1952331059546,13.3093386817595,13.2643318906314,13.2281702241387,13.2566688683588,13.2390216624218,13.2257977869402,13.2029341345878,13.1846021330511,13.1661598924145,13.1573709193088,13.1558444571717,13.1584362579663,13.1584362579663,13.1584362579663,13.1584362579663,13.1584362579663,13.1584362579663,13.1584362579663,13.1584362579663,13.1584362579663,13.1584362579663,13.1584362579663,13.1584362579663,13.1584362579663
Agricultural land (% of land area),AG.LND.AGRI.ZS,Mexico,MEX,49.9755652151547,50.1041693459194,50.1818462409013,50.1818462409013,50.1818462409013,50.2075670670542,50.5146737313203,50.4117904267085,50.5054142339052,50.520846729597,50.5748604645181,51.966357159392,51.9720157411456,52.1798400164613,52.1829265155997,52.7534144396718,53.0111371177242,53.5250392242599,54.0914118161475,54.6073715887754,54.6192031688058,54.620746418375,54.6258905836055,54.6284626662208,54.6876205663726,54.6876205663726,54.6953368142185,54.6958512307415,54.6979088968338,54.8110805319067,54.8110805319067,54.8110805319067,54.8213688623679,54.8213688623679,54.8213688623679,54.8882430103655,53.1675197407341,52.8213174207156,52.3712029630392,52.1217109493557,51.7050335656781,51.1772422130199,50.7976028190025,50.7626224954345,50.5866920445485,49.8706242444507,49.6494251395355,49.4385143650814,49.969392216878
